CASEID,WGT2011_2015,WGT2013_2017,WGT2015_2019,WGT2011_2017,WGT2013_2019,WGT2011_2019
57512,880.5852,,,576.3166,,476.64279956
57513,4428.1410397,,,2833.7999479,,2278.6068302
57514,3088.8162215,,,2012.0636633,,788.80423685
57516,1731.5591606,,,1233.8235788,,939.07362631
57517,16085.468106,,,11526.951429,,9181.1974997
57520,4427.2663303,,,2973.8274461,,2317.2925302
57523,3337.0800373,,,3295.6265251,,2294.9318512
57525,22989.560185,,,14738.338212,,11599.575099
57526,1089.182927,,,720.95707452,,589.90458811
57527,4867.3155649,,,5182.1910608,,3678.643934
57528,2628.885219,,,1838.4922454,,1516.7355238
57530,1575.319947,,,799.71341572,,557.93380195
57531,3084.5331344,,,2224.1414595,,1721.5989014
57532,6726.3377307,,,4864.2433773,,3761.9758826
57533,2753.1746639,,,2052.285495,,1513.6758145
57534,5390.2026888,,,3619.1246934,,2815.00447
57535,4630.1958666,,,3114.157106,,2353.3122447
57538,1984.8414972,,,1414.5523879,,1114.0445846
57539,2394.8588201,,,1523.3649105,,1161.3350728
57540,11123.123797,,,7156.6296372,,5725.0786194
57541,880.5852,,,576.3166,,394.0221
57542,4740.6474425,,,3186.3131533,,2485.3972015
57544,3594.9408126,,,2032.8995832,,1336.4318943
57546,2767.2182007,,,1832.5901304,,1452.0524437
57547,3492.906436,,,2496.0755616,,1976.8282612
57548,2019.4837104,,,1120.1548452,,709.31511972
57549,3685.8124442,,,2634.4199478,,2087.1923116
