CASEID,FULL_SAMPLE_WGT,REP_WGT_1,REP_WGT_2,REP_WGT_3,REP_WGT_4,REP_WGT_5,REP_WGT_6,REP_WGT_7,REP_WGT_8,REP_WGT_9,REP_WGT_10,REP_WGT_11,REP_WGT_12,REP_WGT_13,REP_WGT_14,REP_WGT_15,REP_WGT_16,REP_WGT_17,REP_WGT_18,REP_WGT_19,REP_WGT_20,REP_WGT_21,REP_WGT_22,REP_WGT_23,REP_WGT_24,REP_WGT_25,REP_WGT_26,REP_WGT_27,REP_WGT_28,REP_WGT_29,REP_WGT_30,REP_WGT_31,REP_WGT_32,REP_WGT_33,REP_WGT_34,REP_WGT_35,REP_WGT_36,REP_WGT_37,REP_WGT_38,REP_WGT_39,REP_WGT_40
237,11519.734689639325,19142.886618501387,0,0,21702.460528699485,24605.196060794224,0,0,0,0,23756.058306611358,0,22170.732771395393,0,22333.358101861784,22029.781894989574,22227.07205370225,22792.009819083265,0,0,23942.45843132768,24692.295133216267,0,0,25512.355472796447,23906.377508275833,0,0,0,0,28108.576593446218,0,25457.31179494778,0,23292.274447379994,24385.35786084395,22493.924199649467,23631.44131409896,0,0,22990.27892404561
238,53671.91864262478,112772.39238738122,0,0,87226.50519056732,88625.91616470153,0,0,0,0,93729.60204799577,0,113621.03459582478,0,92500.80580304992,91941.71304768028,110710.59977785905,107636.79228273901,0,0,90074.10000801389,84608.30676724586,0,0,97278.01612531825,106001.10850912736,0,0,0,0,108030.8085841744,0,146580.39019436456,0,99188.31390503146,128062.38092120078,122546.438996209,130712.11037591113,0,0,82911.48337922647
246,12966.176424812045,20080.29326370434,0,0,25387.707173077622,25776.27704098058,0,0,0,0,24333.507007509746,0,25543.460745624696,0,24217.680462047152,27015.541533262065,24833.3391036948,23360.206862450254,0,0,26740.85835592854,34229.27791762766,0,0,26492.691766119697,24857.311643341174,0,0,0,0,30316.691909889738,0,25468.208823022214,0,27498.889451055828,24710.062294993808,25563.643599324154,31310.079503354566,0,0,25354.643950453792
257,11519.734689639325,19142.886618501387,0,0,21702.460528699485,24605.196060794224,0,0,0,0,23756.058306611358,0,22170.732771395393,0,22333.358101861784,22029.781894989574,22227.07205370225,22792.009819083265,0,0,23942.45843132768,24692.295133216267,0,0,25512.355472796447,23906.377508275833,0,0,0,0,28108.576593446218,0,25457.31179494778,0,23292.274447379994,24385.35786084395,22493.924199649467,23631.44131409896,0,0,22990.27892404561
259,65730.17336495478,138108.5135368428,0,0,106823.33430953212,108537.14533520343,0,0,0,0,114787.45585871773,0,139147.81678696955,0,113282.5908892298,112597.88900662646,135583.506250093,131819.11875185504,0,0,110310.68683497852,103616.91574613654,0,0,119133.077896679,129815.95246436643,0,0,0,0,132301.65711562056,0,179512.01863178113,0,121472.55461774251,156833.6424775097,150078.45600066945,160078.67602266825,0,0,101538.87385225782
272,3896.0966721104573,0,8278.639819016746,9355.977634064282,0,0,8281.104626387663,7847.4328098131355,7370.445787959489,6224.907187615491,0,7107.426994105531,0,7558.638242507865,0,0,0,0,7828.226958376657,8164.375787379353,0,0,6554.048042161936,7035.491712239385,0,0,6682.349236412077,8192.981799477342,7422.005844689818,8996.322640162367,0,7799.289003113567,0,8097.828583963184,0,0,0,0,7392.04991539269,6800.405347149765,0
274,2049.5925518498652,0,4868.716863954758,5178.722946662291,0,0,5057.03079146737,4224.97112607662,3540.704884332165,3558.8596003043485,0,4450.6279544629015,0,4790.680239079426,0,0,0,0,4139.991305859793,3923.726213724882,0,0,3576.752692093159,3896.9015584241292,0,0,3747.773699133933,4660.743069265554,3849.613936915249,4074.1810578241298,0,4449.153658741388,0,3700.1210881087445,0,0,0,0,3765.5849992994304,3576.296471513534,0
278,1588.6191290941356,0,3761.435527383018,2859.4727213796873,0,0,2663.517356922584,2888.052154321607,3133.76142043195,2961.5429926769207,0,3098.515478954095,0,3162.496940608922,0,0,0,0,3272.0157833747166,3562.1208228354694,0,0,2583.09265097797,2851.9363916938314,0,0,2538.203861908517,2996.3157276402526,2978.4572005818727,3196.037616716303,0,3023.7396592800455,0,3048.507016559158,0,0,0,0,2910.1699741282396,2613.883690417753,0
279,1752.9921088600495,0,3903.5148323471667,3545.634789223369,0,0,3401.214477286919,3251.7867151593587,3421.7563648738414,4026.1440141696116,0,3223.2354498004506,0,3612.9616955860984,0,0,0,0,3255.268002480513,3195.4852145736404,0,0,3466.5002154627123,3356.7082791065636,0,0,3485.764598246939,3348.1483728541743,3509.757214713626,3708.2613866989846,0,4194.55055060857,0,3428.8799226992383,0,0,0,0,3161.9941757338383,3092.5935307512245,0
281,1752.9921088600495,0,3903.5148323471667,3545.634789223369,0,0,3401.214477286919,3251.7867151593587,3421.7563648738414,4026.1440141696116,0,3223.2354498004506,0,3612.9616955860984,0,0,0,0,3255.268002480513,3195.4852145736404,0,0,3466.5002154627123,3356.7082791065636,0,0,3485.764598246939,3348.1483728541743,3509.757214713626,3708.2613866989846,0,4194.55055060857,0,3428.8799226992383,0,0,0,0,3161.9941757338383,3092.5935307512245,0
283,24747.289015766095,0,46715.72689569746,57004.89384493544,0,0,58650.4439094701,47349.66377433011,45598.408453692544,35589.00948704568,0,54754.05393355991,0,46791.83067136734,0,0,0,0,52009.629247380755,50479.52786020224,0,0,52123.38140437797,44459.06162959102,0,0,47841.10625115126,55072.916768838026,46231.72868912072,62213.26507168606,0,45145.102866589936,0,59274.043931114196,0,0,0,0,51698.935417611894,47586.99895208396,0
284,1855.269640293969,0,4570.284246215874,4296.895706218243,0,0,5026.9615661212065,2898.8288302641054,2792.6965503078045,2376.469363382194,0,9601.629802142294,0,3648.9317467179894,0,0,0,0,2934.364744450656,10890.045772915799,0,0,5134.352847852451,2001.244265506318,0,0,9571.430718306792,5900.880756102434,4554.01312072366,14780.50087059589,0,2792.4663767468805,0,1530.4632916030516,0,0,0,0,12506.156499152625,4843.765394364847,0
293,1308.4666120978757,0,2377.9143947083094,2666.470855503506,0,0,4185.716231735434,3255.0669963901637,2734.94651815601,1861.9767651848317,0,2515.3836887674643,0,2448.3990307003905,0,0,0,0,3543.1836443140196,2532.5408135602943,0,0,2595.9887312356036,2330.1630108989834,0,0,2943.5568605480275,2159.1014585115304,2206.8273092458335,2315.482861554787,0,2491.529005400916,0,3435.6505424537877,0,0,0,0,2120.5363184808402,2610.8105970048173,0
294,7227.699897448152,0,16007.357850711844,17964.233973611386,0,0,19337.41581589514,16383.698347233896,27602.6745781806,14707.74712143232,0,18601.601871916286,0,16863.016179362887,0,0,0,0,26058.94599835473,22312.714597556635,0,0,13282.04835628383,13735.332424519223,0,0,12244.995405298485,15123.537203553149,14582.02641733344,15838.837128482372,0,17433.808831689897,0,13337.825672950372,0,0,0,0,11988.283066593625,16710.466780995794,0
300,1599.199114797475,0,3398.065957928922,3840.2720490905676,0,0,3399.077667364662,3221.0719237846547,3025.286940167954,2555.087027329516,0,2917.327754935902,0,3102.5327664534457,0,0,0,0,3213.1886541430154,3351.164930150081,0,0,2690.1867970560306,2887.801064824096,0,0,2742.849544810988,3362.9066072887567,3046.4503773260426,3692.647388748432,0,3201.3107269929883,0,3323.849840779431,0,0,0,0,3034.1546106532533,2791.307076457881,0
303,2336.8525129120853,0,4732.819413159887,5089.562986174902,0,0,4765.4521453520565,4446.10344914727,4763.799630462522,4669.891424606025,0,4905.375856561513,0,4665.664956836998,0,0,0,0,4098.315806838785,4665.209711591993,0,0,4346.911341165937,4537.041919148588,0,0,4849.485793836625,4486.36751531615,4543.124907431055,5162.6142556973255,0,4825.265660689296,0,4629.616786778544,0,0,0,0,4144.847102574352,4124.644195487071,0
305,8553.215720334561,0,13481.227904225287,24678.391102735306,0,0,27610.63258267047,20180.421981785497,17228.252139060645,9072.56179909157,0,19592.25241516144,0,18264.738760980254,0,0,0,0,16119.88847229496,14941.555692235715,0,0,17447.62094630574,13353.066264349156,0,0,14852.457506986384,11872.307235665368,16637.863151011265,25789.483075916854,0,14594.824960188265,0,22568.432036396036,0,0,0,0,27491.762872861676,18714.80833869878,0
312,4203.561072948235,0,8931.957035174772,10094.314051150923,0,0,8934.616355306858,8466.720889663817,7952.091955603155,6716.152020530333,0,7668.316768192469,0,8155.135807626882,0,0,0,0,8445.999389078597,8808.675742164942,0,0,7071.267357783732,7590.704640960448,0,0,7209.693570260261,8839.539226576959,8007.720926244998,9706.276520439811,0,8414.777765871606,0,8736.876899031451,0,0,0,0,7975.400994555729,7337.066198119569,0
313,4910.474731790411,0,9848.863461358671,11597.701762962286,0,0,11682.64535030768,10381.414852209256,9815.04671416755,8663.864734104693,0,9738.1912735103,0,10136.213888166894,0,0,0,0,10886.245662597199,10122.336378167915,0,0,9373.612447607753,8852.873106348725,0,0,8231.694200486027,9896.241914966626,9137.321201044928,10397.315732085417,0,9719.181119890454,0,9705.33872530094,0,0,0,0,8809.9647326807,8330.987499336952,0
315,1848.366519681636,0,4330.62502595637,3901.9814972824793,0,0,4075.2434276637564,3653.9174760797096,3827.649365353328,3145.1229648982467,0,3732.861857303543,0,3474.5543043800462,0,0,0,0,4120.92021100294,4156.063568627295,0,0,3108.3846235433584,3568.627429647306,0,0,3330.022171613387,4130.95164563066,3633.6955867885813,4727.270008369639,0,3873.5283468764105,0,3622.6404779126624,0,0,0,0,3406.0897928659183,2972.5655631728955,0
317,1231.689598473617,0,2424.4188302373605,3023.7789976564845,0,0,2868.9275880158,3463.6661868340857,2097.352343066407,2526.8414278308355,0,2664.197503561444,0,2468.3663938118525,0,0,0,0,3092.5009700392256,2125.7598632120043,0,0,2847.1487839330366,2142.237244862611,0,0,2566.3612172561698,2195.942764956893,2166.859195570153,2521.6635621583,0,2323.7677151277762,0,2611.2600139793303,0,0,0,0,2193.9004212495706,2596.5454486503945,0
319,3506.0769244792536,0,7807.236101567378,7091.457088880351,0,0,6802.608827358083,6503.74540063524,6843.693688886971,8052.5009504405625,0,6446.641359987478,0,7226.1144621804815,0,0,0,0,6510.708159384977,6391.139421966287,0,0,6933.183756337422,6713.594077292882,0,0,6971.713540700249,6696.473812098579,7019.700042480014,7416.718884317991,0,8389.322929476208,0,6857.941181266196,0,0,0,0,6324.155573117459,6185.350612908169,0
320,4719.57212213172,0,8534.900303807635,10907.975580970646,0,0,11518.767808287943,11214.664859201284,9532.830713733027,5446.9273780566555,0,12041.349359162361,0,8610.134268326277,0,0,0,0,9191.886131744637,10074.345158193346,0,0,9501.100882842753,6483.216932319291,0,0,8170.837901652366,8636.912310803085,8435.750038128626,11401.272473151841,0,7028.661047853391,0,13955.234147615653,0,0,0,0,10236.399685960865,9315.024786498867,0
324,1187.805161541844,0,2654.6814491646164,2102.811694470677,0,0,2229.154226501968,2266.5517334781443,2475.6896929463805,2445.2793955258016,0,2518.55376997291,0,2515.903526718591,0,0,0,0,2699.366017355478,2619.9806843955557,0,0,2191.6390051112026,2128.929513012601,0,0,1854.8902733788582,2147.076660697592,2175.307352201353,2191.2894923495724,0,2235.3767123045027,0,2167.509357170373,0,0,0,0,2057.5921706203435,1899.6763048265202,0
